Reported m/z,Reported ion,Monoisotopic Mass (Da),Molecular Formula,Reported compound name,Genus,Endnote Reference,ref
275,[M+H]+,274.116486,C11H18N2O6,Palythine-serine ,Pocillopora ,"{Carignan, 2009 #6297}","(Carignan et al., 2009)"
275,,274.116486,C11H18N2O6,Palythine-serine ,Acropora,"{Rosic, 2015 #6290}","(Rosic et al., 2015)"
299,[M+Na]+,276.1725,C17H24O3,Methyl montiporate B,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
275,[M+H]+,276.208923,C18H28O2,Stearidonic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
279,[M+H]+,280.240234,C18H32O2,Linoleic Acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
282.1357,[M+H]+,281.126312,C14H19NO5,Zooxanthellabetaine-A,Symbiodinium,"{Nakamura, 1998 #676}","(Nakamura, Kawase, Maruyama, & Murai, 1998)"
281,[M+H]+,282.25589,C18H34O2,Elaidic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
281,[M+H]+,282.25589,C18H34O2,Oleic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
283,[M+H]+,284.271515,C18H36O2,Stearic Acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
284.1372,[M]+,284.312,C13H20N2O5,Palythene,Zoanthid,"{Takano, 1978 #6300}","(Takano, Uemura, & Hirata, 1978)"
385,[M+H]+,284.312,C13H20N2O5,Palythene ,Acropora,"{Rosic, 2015 #6290}","(Rosic et al., 2015)"
289,[M+H]+,288.1321,C12H20N2O6,Mycosporine-methylamine-serine ,Pocillopora ,"{Carignan, 2009 #6297}","(Carignan et al., 2009)"
289,[M+H]+,288.1321,C12H20N2O6,Palythine-threonine,Pocillopora capitata,"{Carignan, 2009 #6297}","(Carignan et al., 2009)"
311.1596,[M+Na]+,288.17254,C18H24O3,Montiporic acid D ,Montipora,"{Kodani, 2013 #6325}","(Kodani, Sato, Higuchi, Casareto, & Suzuki, 2013)"
289,[M+H]+,288.3,C12H20N2O6,Asterina-330,Asterinidae,"{Nakamura, 1981 #6303}","(Nakamura, Kobayashi, & Hirata, 1981)"
292.1913,[M+H]+,291.183441,C17H25NO3,Montipyridine,Montipora,"{Alam, 2001 #6331}","(N. Alam, Hong, et al., 2001)"
,,294.0892,C18H14O4,Neodunol methyl ether,Echinopora lamellosa,"{Sanduja, 1984 #6333}","(Sanduja, Martin, et al., 1984)"
303,[M+H]+,302.147797,C13H22N2O6,Palythinol,Acropora,"{Dunlap, 1986 #6286}","(Dunlap & Chalker, 1986)"
303.1542,[M+H]+,302.1478,C13H22N2O6,Mycosporine-methylamine:threonine. ,Pocillopora/Stylophora,"{Won, 1995 #6328}","(Won, Rideout, & Chalker, 1995)"
301,[M+H]+,302.224579,C20H30O2,Timnodonic Acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
303,[M+H]+,302.283,C12H18N2O7,Mycosporine-2-glycine,Anthopleura elegantissima,"{Stochaj, 1994 #6302}","(Stochaj, Dunlap, & Shick, 1994)"
303,[M+H]+,304.240234,C20H32O2,Arachidonic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
305,[M+H]+,304.240234,C20H32O2,Eicosatrienoic acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
307,[M+H]+,308.271515,C20H36O2,Eicosadienoic acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
309,[M+H]+,310.28717,C20H38O2,Gadoleic acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
311,[M+H]+,312.302826,C20H40O2,Arachidic Acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
319.2,[M-H]-,320.235138,C20H32O3,8-HETE,Scleractinia,"{Lohelaid, 2018 #6336}","(Lohelaid & Samel, 2018)"
327.2317,[M+H]+,326.224579,C22H30O2,Zooxanthellactone,Symbiodinium,"{Onodera, 2004 #5837}","(K. Onodera et al., 2004)"
327,[M+H]+,328.240234,C22H32O2,Docosahexaenoic Acid,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
